"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\ifit\ecomflutter\lib\Features\ProfilePage\Presentation\Views\ProfilePageView\Widgets\profile_details_tile.dart", "Dart", 65, 0, 0, 2, 67
"c:\ifit\ecomflutter\lib\Features\ProfilePage\Presentation\Views\ProfilePageView\profilePage.dart", "Dart", 127, 0, 1, 11, 139
"c:\ifit\ecomflutter\lib\Features\SearchPage\Widgets\categories_show.dart", "Dart", 49, 0, 0, 2, 51
"c:\ifit\ecomflutter\lib\Features\SearchPage\Widgets\custom_search_field.dart", "Dart", 45, 0, 0, 4, 49
"c:\ifit\ecomflutter\lib\Features\SearchPage\Widgets\search_found_results.dart", "Dart", 55, 0, 0, 2, 57
"c:\ifit\ecomflutter\lib\Features\SearchPage\Widgets\search_products_grid.dart", "Dart", 104, 0, 0, 4, 108
"c:\ifit\ecomflutter\lib\Features\SearchPage\Widgets\shop_by_categories_view.dart", "Dart", 39, 0, 0, 3, 42
"c:\ifit\ecomflutter\lib\Features\SearchPage\search_view.dart", "Dart", 2, 0, 2, 2, 6
"c:\ifit\ecomflutter\lib\constants\colors.dart", "Dart", 9, 0, 0, 2, 11
"c:\ifit\ecomflutter\lib\constants\constant.dart", "Dart", 11, 0, 9, 4, 24
"c:\ifit\ecomflutter\lib\constants\sizes.dart", "Dart", 10, 0, 0, 2, 12
"c:\ifit\ecomflutter\lib\firebase_options.dart", "Dart", 0, 0, 61, 3, 64
"c:\ifit\ecomflutter\lib\main.dart", "Dart", 91, 0, 2, 11, 104
"c:\ifit\ecomflutter\lib\routers.dart", "Dart", 97, 0, 7, 7, 111
"c:\ifit\ecomflutter\lib\utils\api_service.dart", "Dart", 66, 0, 0, 9, 75
"c:\ifit\ecomflutter\lib\utils\errors\failures.dart", "Dart", 0, 0, 0, 1, 1
"c:\ifit\ecomflutter\lib\utils\helpers\notification_sender.dart", "Dart", 82, 0, 12, 19, 113
"c:\ifit\ecomflutter\lib\utils\helpers\token_service.dart", "Dart", 68, 0, 1, 17, 86
"c:\ifit\ecomflutter\lib\utils\service_locator.dart", "Dart", 15, 0, 0, 3, 18
"c:\ifit\ecomflutter\lib\utils\shared_func.dart", "Dart", 7, 0, 0, 2, 9
"c:\ifit\ecomflutter\lib\utils\stripe_service.dart", "Dart", 0, 0, 41, 7, 48
"c:\ifit\ecomflutter\lib\utils\theme_data.dart", "Dart", 36, 0, 0, 3, 39
"c:\ifit\ecomflutter\lib\utils\usefulFunctions.dart", "Dart", 12, 0, 0, 3, 15
"c:\ifit\ecomflutter\lib\utils\widgets\listtile.dart", "Dart", 25, 0, 1, 2, 28
"c:\ifit\ecomflutter\lib\utils\widgets\option_list_tile.dart", "Dart", 39, 0, 0, 3, 42
"c:\ifit\ecomflutter\lib\utils\widgets\product_card.dart", "Dart", 119, 0, 3, 8, 130
"Total", "-", 8693, 75, 331, 871, 9970
